ticker,type,strike,expiry,iv,open_interest,market_price
BOVAN166W2,PUT,R$ 166.00,13/02/2026,16.1%,12513367,129.14
BOVAB166W2,CALL,R$ 166.00,13/02/2026,13.4%,12500580,-7.69
BOVAN157W2,PUT,R$ 157.00,13/02/2026,14.3%,11000306,-77.53
BOVAB157W2,CALL,R$ 157.00,13/02/2026,0.0%,11000009,0
BOVAB180,CALL,R$ 180.00,20/02/2026,18.8%,10358956,37.5
BOVAA158W4,CALL,R$ 158.00,23/01/2026,19.3%,9868168,26.52
BOVAM158W4,PUT,R$ 158.00,23/01/2026,19.5%,9781542,-46.66
BOVAB170,CALL,R$ 170.00,20/02/2026,14.8%,7338049,43.05
BOVAN155,PUT,R$ 155.00,20/02/2026,17.5%,7276631,-9.09
BOVAN154,PUT,R$ 154.00,20/02/2026,17.9%,6413084,-8.57
BOVAN150,PUT,R$ 150.00,20/02/2026,19.9%,5934338,5.88
BOVAB158,CALL,R$ 158.00,20/02/2026,13.8%,5810916,19.84
BOVAN160,PUT,R$ 160.00,20/02/2026,16.2%,5789590,-17.77
BOVAB154,CALL,R$ 154.00,20/02/2026,11.4%,5641966,11.66
BOVAB155,CALL,R$ 155.00,20/02/2026,13.2%,5585508,13.89
BOVAB190,CALL,R$ 190.00,20/02/2026,23.4%,5381441,16.66
BOVAN158,PUT,R$ 158.00,20/02/2026,16.5%,5231971,-13.95
BOVAO110,PUT,R$ 110.00,20/03/2026,36.4%,5109464,0
BOVAN159,PUT,R$ 159.00,20/02/2026,16.4%,5094361,-15.74
BOVAN120,PUT,R$ 120.00,20/02/2026,38.6%,5001053,0
BOVAN156,PUT,R$ 156.00,20/02/2026,17.1%,4918493,-5.88
BOVAN157,PUT,R$ 157.00,20/02/2026,16.8%,4469789,-17.64
BOVAO100,PUT,R$ 100.00,20/03/2026,39.3%,4454592,0
BOVAL2,CALL,R$ 180.00,18/12/2026,17.1%,4453743,7.59
BOVAB153,CALL,R$ 153.00,20/02/2026,0.0%,4402463,10.46
BOVAX2,PUT,R$ 180.00,18/12/2026,26.2%,4242121,-8.07
BOVAN153,PUT,R$ 153.00,20/02/2026,18.2%,4202412,-6.66
BOVAB159,CALL,R$ 159.00,20/02/2026,14.1%,4137939,20.1
BOVAN110,PUT,R$ 110.00,20/02/2026,38.3%,4073754,0
BOVAN100,PUT,R$ 100.00,20/02/2026,39.6%,3890392,0
BOVAB162,CALL,R$ 162.00,20/02/2026,14.3%,3660624,25.42
BOVAB160,CALL,R$ 160.00,20/02/2026,14.2%,3659597,21.2
BOVAB157,CALL,R$ 157.00,20/02/2026,13.8%,3624434,18.03
BOVAN145,PUT,R$ 145.00,20/02/2026,23.0%,3593374,0
BOVAB150,CALL,R$ 150.00,20/02/2026,0.0%,3560783,7.85
BOVAN151,PUT,R$ 151.00,20/02/2026,19.3%,3490020,-4.76
BOVAN161,PUT,R$ 161.00,20/02/2026,16.1%,3144882,-16.96
BOVAB166,CALL,R$ 166.00,20/02/2026,14.3%,3129074,38.18
BOVAN165,PUT,R$ 165.00,20/02/2026,15.9%,3081909,-16.76
BOVAN115,PUT,R$ 115.00,20/02/2026,36.6%,3052305,0
BOVAB172,CALL,R$ 172.00,20/02/2026,15.4%,2999499,53.19
BOVAB163,CALL,R$ 163.00,20/02/2026,14.3%,2996339,27.85
BOVAB156,CALL,R$ 156.00,20/02/2026,13.7%,2969364,15.8
BOVAB165,CALL,R$ 165.00,20/02/2026,14.4%,2966171,35
BOVAB151,CALL,R$ 151.00,20/02/2026,0.0%,2952404,9.04
BOVAB161,CALL,R$ 161.00,20/02/2026,14.2%,2814000,28.5
BOVAB171,CALL,R$ 171.00,20/02/2026,15.1%,2734824,45.76
BOVAD130,CALL,R$ 130.00,17/04/2026,0.0%,2702366,3.45
BOVAN123,PUT,R$ 123.00,20/02/2026,33.9%,2655251,0
BOVAN118,PUT,R$ 118.00,20/02/2026,34.3%,2613844,0
BOVAP154,PUT,R$ 155.00,17/04/2026,18.7%,2541166,-6.2
BOVAP130,PUT,R$ 130.00,17/04/2026,26.6%,2467753,0
BOVAB174,CALL,R$ 174.00,20/02/2026,16.1%,2376832,38.88
BOVAN105,PUT,R$ 105.00,20/02/2026,38.1%,2350301,0
BOVAN148,PUT,R$ 148.00,20/02/2026,21.1%,2299811,-7.14
BOVAD154,CALL,R$ 155.00,17/04/2026,13.2%,2283858,11.11
BOVAN162,PUT,R$ 162.00,20/02/2026,16.0%,2262725,-17.07
BOVAC167,CALL,R$ 167.00,20/03/2026,14.6%,2245421,17.29
BOVAF154,CALL,R$ 154.00,19/06/2026,13.5%,2231375,2.08
BOVAR154,PUT,R$ 154.00,19/06/2026,20.7%,2204302,-10.4
BOVAB130,CALL,R$ 130.00,20/02/2026,0.0%,2186702,2.5
BOVAR100,PUT,R$ 10.00,19/06/2026,98.9%,2153085,0
BOVAO167,PUT,R$ 167.00,20/03/2026,16.9%,2100249,-13.55
BOVAN106,PUT,R$ 106.00,20/02/2026,39.0%,2079849,0
BOVAB176,CALL,R$ 176.00,20/02/2026,16.9%,2030948,14.81
BOVAN800,PUT,R$ 80.00,20/02/2026,48.6%,2011599,0
BOVAP100,PUT,R$ 100.00,17/04/2026,36.4%,1976382,-50
BOVAB167,CALL,R$ 167.00,20/02/2026,14.4%,1964050,39.7
BOVAN140,PUT,R$ 140.00,20/02/2026,26.1%,1937151,20
BOVAB168,CALL,R$ 168.00,20/02/2026,14.5%,1887089,42.2
BOVAA165W4,CALL,R$ 165.00,23/01/2026,16.5%,1834810,103.84
BOVAB145,CALL,R$ 145.00,20/02/2026,0.0%,1806812,7.42
BOVAB169,CALL,R$ 169.00,20/02/2026,14.6%,1804165,45.45
BOVAB175,CALL,R$ 175.00,20/02/2026,16.5%,1774032,40
BOVAB138,CALL,R$ 138.00,20/02/2026,0.0%,1709687,4.42
BOVAM161W4,PUT,R$ 161.00,23/01/2026,17.0%,1696213,-43.93
BOVAN111,PUT,R$ 111.00,20/02/2026,37.1%,1693459,0
BOVAB164,CALL,R$ 164.00,20/02/2026,14.3%,1681207,33.19
BOVAN130,PUT,R$ 130.00,20/02/2026,32.0%,1573785,0
BOVAF160,CALL,R$ 160.00,19/06/2026,13.0%,1565027,7.64
BOVAN164,PUT,R$ 164.00,20/02/2026,15.9%,1543085,-15.77
BOVAR160,PUT,R$ 160.00,19/06/2026,19.5%,1535763,-3.07
BOVAN125,PUT,R$ 125.00,20/02/2026,33.8%,1524015,0
BOVAN152,PUT,R$ 152.00,20/02/2026,18.9%,1511112,9.09
BOVAB135,CALL,R$ 135.00,20/02/2026,0.0%,1487062,4.76
BOVAN163,PUT,R$ 163.00,20/02/2026,15.9%,1456790,-17.67
BOVAO800,PUT,R$ 80.00,20/03/2026,49.6%,1455652,0
BOVAB140,CALL,R$ 140.00,20/02/2026,23.6%,1443630,4.31
BOVAN170,PUT,R$ 170.00,20/02/2026,16.8%,1413312,-10.22
BOVAN122,PUT,R$ 122.00,20/02/2026,34.8%,1404143,0
BOVAP110,PUT,R$ 110.00,17/04/2026,33.6%,1381336,0
BOVAA164W4,CALL,R$ 164.00,23/01/2026,16.2%,1380448,128.94
BOVAO153,PUT,R$ 153.00,20/03/2026,18.3%,1312330,-6.75
BOVAB152,CALL,R$ 152.00,20/02/2026,0.0%,1301241,10.24
BOVAO118,PUT,R$ 118.00,20/03/2026,32.1%,1287934,0
BOVAN146,PUT,R$ 146.00,20/02/2026,22.3%,1279480,9.09
BOVAN109,PUT,R$ 109.00,20/02/2026,38.4%,1277302,0
BOVAB173,CALL,R$ 173.00,20/02/2026,15.7%,1260173,47.5
